t,detected,conf,cx,cy,size
41.356,True,0.888,-0.349,0.690,0.0511
41.429,True,0.862,-0.294,0.731,0.0445
41.501,True,0.856,-0.248,0.757,0.0410
41.572,True,0.834,-0.202,0.782,0.0370
41.633,True,0.831,-0.157,0.801,0.0341
41.701,True,0.781,-0.109,0.821,0.0309
41.753,True,0.726,-0.088,0.821,0.0335
41.837,True,0.454,-0.025,0.838,0.0302
41.902,False,0.000,0.000,0.000,0.0000
41.964,False,0.000,0.000,0.000,0.0000
42.036,False,0.000,0.000,0.000,0.0000
42.102,False,0.000,0.000,0.000,0.0000
42.154,False,0.000,0.000,0.000,0.0000
42.233,False,0.000,0.000,0.000,0.0000
42.302,False,0.000,0.000,0.000,0.0000
42.355,False,0.000,0.000,0.000,0.0000
42.436,False,0.000,0.000,0.000,0.0000
42.501,False,0.000,0.000,0.000,0.0000
42.565,False,0.000,0.000,0.000,0.0000
42.636,False,0.000,0.000,0.000,0.0000
42.702,False,0.000,0.000,0.000,0.0000
42.770,False,0.000,0.000,0.000,0.0000
42.838,False,0.000,0.000,0.000,0.0000
42.903,False,0.000,0.000,0.000,0.0000
42.962,False,0.000,0.000,0.000,0.0000
43.036,False,0.000,0.000,0.000,0.0000
43.103,False,0.000,0.000,0.000,0.0000
43.156,False,0.000,0.000,0.000,0.0000
43.235,False,0.000,0.000,0.000,0.0000
43.306,False,0.000,0.000,0.000,0.0000
43.365,False,0.000,0.000,0.000,0.0000
43.432,False,0.000,0.000,0.000,0.0000
43.500,False,0.000,0.000,0.000,0.0000
43.580,False,0.000,0.000,0.000,0.0000
43.631,False,0.000,0.000,0.000,0.0000
43.695,False,0.000,0.000,0.000,0.0000
43.761,False,0.000,0.000,0.000,0.0000
43.825,False,0.000,0.000,0.000,0.0000
43.899,False,0.000,0.000,0.000,0.0000
43.968,False,0.000,0.000,0.000,0.0000
44.034,False,0.000,0.000,0.000,0.0000
44.099,False,0.000,0.000,0.000,0.0000
44.168,False,0.000,0.000,0.000,0.0000
44.230,False,0.000,0.000,0.000,0.0000
44.297,False,0.000,0.000,0.000,0.0000
44.366,False,0.000,0.000,0.000,0.0000
44.433,False,0.000,0.000,0.000,0.0000
44.504,False,0.000,0.000,0.000,0.0000
44.566,False,0.000,0.000,0.000,0.0000
44.634,False,0.000,0.000,0.000,0.0000
44.699,False,0.000,0.000,0.000,0.0000
44.767,False,0.000,0.000,0.000,0.0000
44.834,False,0.000,0.000,0.000,0.0000
44.900,False,0.000,0.000,0.000,0.0000
44.966,False,0.000,0.000,0.000,0.0000
45.034,False,0.000,0.000,0.000,0.0000
45.112,False,0.000,0.000,0.000,0.0000
45.189,False,0.000,0.000,0.000,0.0000
45.293,False,0.000,0.000,0.000,0.0000
45.361,False,0.000,0.000,0.000,0.0000
45.425,False,0.000,0.000,0.000,0.0000
