t,detected,conf,cx,cy,size
12.273,False,0.000,0.000,0.000,0.0000
12.330,True,0.491,0.649,0.868,0.0252
12.398,True,0.659,0.706,0.853,0.0302
12.485,True,0.749,0.751,0.832,0.0361
12.560,True,0.824,0.777,0.781,0.0489
12.633,True,0.841,0.781,0.762,0.0520
12.700,True,0.854,0.782,0.751,0.0534
12.763,True,0.860,0.776,0.749,0.0532
12.828,True,0.862,0.774,0.744,0.0531
12.866,True,0.861,0.773,0.749,0.0530
12.922,True,0.857,0.770,0.750,0.0531
12.988,True,0.854,0.769,0.751,0.0528
13.062,True,0.851,0.765,0.754,0.0524
13.130,True,0.845,0.752,0.756,0.0521
13.196,True,0.855,0.738,0.751,0.0536
13.274,True,0.859,0.713,0.733,0.0556
13.334,True,0.882,0.691,0.711,0.0582
13.400,True,0.901,0.673,0.682,0.0626
13.462,True,0.878,0.660,0.643,0.0616
13.531,True,0.891,0.650,0.603,0.0611
13.600,True,0.876,0.629,0.560,0.0596
13.672,True,0.887,0.615,0.518,0.0571
13.732,True,0.872,0.591,0.458,0.0592
13.798,True,0.876,0.568,0.390,0.0547
13.876,True,0.883,0.534,0.328,0.0519
13.934,True,0.840,0.508,0.282,0.0522
14.000,True,0.854,0.480,0.222,0.0502
14.079,True,0.869,0.450,0.175,0.0491
14.138,True,0.853,0.419,0.138,0.0485
14.197,True,0.882,0.388,0.090,0.0457
14.278,True,0.872,0.361,0.069,0.0455
14.332,True,0.866,0.327,0.058,0.0440
14.397,True,0.864,0.307,0.060,0.0434
14.463,True,0.869,0.299,0.053,0.0427
14.532,True,0.884,0.313,0.026,0.0412
14.597,True,0.877,0.336,0.011,0.0429
14.677,True,0.885,0.365,-0.004,0.0412
14.735,True,0.875,0.387,-0.024,0.0407
14.798,True,0.881,0.409,-0.042,0.0401
14.881,True,0.881,0.431,-0.050,0.0403
14.968,True,0.886,0.453,-0.058,0.0407
15.033,True,0.890,0.466,-0.067,0.0393
15.096,True,0.897,0.476,-0.074,0.0386
15.166,True,0.886,0.484,-0.078,0.0386
15.233,True,0.879,0.495,-0.090,0.0380
15.297,True,0.881,0.507,-0.094,0.0389
15.368,True,0.884,0.510,-0.115,0.0375
15.433,True,0.890,0.508,-0.132,0.0377
15.498,True,0.874,0.503,-0.163,0.0353
15.564,True,0.875,0.495,-0.188,0.0357
15.632,True,0.868,0.485,-0.224,0.0347
15.698,True,0.874,0.478,-0.253,0.0351
15.765,True,0.867,0.470,-0.282,0.0345
15.835,True,0.860,0.461,-0.312,0.0337
15.899,True,0.864,0.456,-0.340,0.0342
15.966,True,0.847,0.449,-0.375,0.0341
16.030,True,0.847,0.445,-0.396,0.0351
16.078,True,0.852,0.439,-0.422,0.0343
16.134,True,0.871,0.434,-0.440,0.0338
16.198,True,0.857,0.433,-0.456,0.0332
16.278,True,0.858,0.440,-0.467,0.0338
16.336,True,0.858,0.456,-0.471,0.0333
16.398,True,0.840,0.479,-0.456,0.0350
16.469,True,0.829,0.504,-0.456,0.0342
16.531,True,0.828,0.530,-0.442,0.0381
16.601,True,0.848,0.556,-0.456,0.0347
16.686,True,0.843,0.565,-0.456,0.0345
16.768,True,0.875,0.550,-0.456,0.0331
16.837,True,0.831,0.525,-0.450,0.0351
16.899,True,0.820,0.484,-0.446,0.0348
16.965,True,0.828,0.437,-0.451,0.0343
17.033,True,0.862,0.382,-0.463,0.0344
17.100,True,0.861,0.330,-0.467,0.0351
17.164,True,0.859,0.284,-0.467,0.0372
17.229,True,0.856,0.230,-0.463,0.0365
17.282,True,0.857,0.198,-0.463,0.0351
17.367,True,0.845,0.146,-0.457,0.0355
17.425,True,0.846,0.080,-0.444,0.0359
17.467,True,0.865,0.061,-0.442,0.0352
17.502,True,0.883,0.040,-0.436,0.0350
17.556,True,0.885,-0.005,-0.419,0.0361
17.624,True,0.883,-0.042,-0.410,0.0349
17.682,True,0.869,-0.061,-0.404,0.0346
17.730,True,0.857,-0.101,-0.394,0.0333
17.797,True,0.861,-0.136,-0.381,0.0309
17.870,True,0.909,-0.168,-0.371,0.0302
17.930,True,0.890,-0.194,-0.350,0.0305
17.999,True,0.867,-0.222,-0.333,0.0301
18.063,True,0.868,-0.245,-0.318,0.0292
18.134,True,0.884,-0.274,-0.299,0.0287
18.195,True,0.879,-0.298,-0.279,0.0282
18.266,True,0.874,-0.316,-0.264,0.0262
18.331,True,0.867,-0.331,-0.254,0.0260
18.395,True,0.859,-0.345,-0.249,0.0242
18.475,True,0.867,-0.351,-0.251,0.0239
18.525,True,0.868,-0.359,-0.272,0.0229
18.597,True,0.871,-0.374,-0.297,0.0237
18.668,True,0.848,-0.385,-0.317,0.0238
18.727,True,0.870,-0.399,-0.315,0.0236
18.790,True,0.848,-0.411,-0.306,0.0249
18.867,True,0.874,-0.425,-0.292,0.0249
18.932,True,0.862,-0.428,-0.278,0.0243
18.996,True,0.861,-0.430,-0.268,0.0243
19.088,True,0.865,-0.430,-0.265,0.0247
19.168,True,0.861,-0.432,-0.256,0.0249
19.232,True,0.873,-0.435,-0.250,0.0245
19.288,True,0.872,-0.437,-0.256,0.0236
19.363,True,0.864,-0.441,-0.293,0.0229
